Bus,X,Y
mv_f0_n369,4889.041161,6716.297175
mv_f0_n370,2002.298397,1854.575795
mv_f0_n371,4130.269628,4788.169802
mv_f0_n372,3233.255684,1084.137475
mv_f0_n373,6069.239926,5290.018152
mv_f0_n374,5965.891539,5507.109335
mv_f0_n375,2259.650444,1851.66354
mv_f0_n376,6431.986023,4771.791928
mv_f0_n377,8590.744318,4249.772559
mv_f0_n378,6100.862152,5233.085333
mv_f0_n379,5891.717693,5317.13769
mv_f0_n380,6151.800616,6551.665677
mv_f0_n381,6325.181305,5312.586092
mv_f0_n382,2536.68513,887.418082
mv_f0_n383,5949.39237,5465.635227
mv_f0_n384,2233.365905,2405.243693
mv_f0_n385,5756.222622,2177.760117
mv_f0_n386,5610.825456,5785.780657
mv_f0_n387,5719.225403,5839.928649
mv_f0_n388,6102.862152,5233.081286
mv_f0_n389,8487.519139,4186.357593
mv_f0_n390,5050.975576,2225.731879
mv_f0_n391,6344.390815,4598.32301
mv_f0_n392,5911.428936,5364.705702
mv_f0_n393,5521.507738,5103.289641
mv_f0_n394,3579.419645,1589.903285
mv_f0_n395,409.806818,2522.089361
mv_f0_n396,8390.393596,4016.23727
mv_f0_n397,3586.601167,5600.780303
mv_f0_n398,5943.899853,5446.458434
mv_f0_n399,5394.30224,2202.514086
mv_f0_n400,2734.896964,1361.072709
mv_f0_n401,5062.501,5590.084701
mv_f0_n402,2779.022999,1447.86399
mv_f0_n403,3325.541915,1692.650754
mv_f0_n404,5921.877905,5391.112329
mv_f0_n405,582.279653,2511.425467
mv_f0_n406,5036.532048,5583.748196
mv_f0_n407,3103.948603,1504.494214
mv_f0_n408,2693.535561,1262.366872
mv_f0_n409,4221.20311,5025.074933
mv_f0_n410,5543.510231,6020.752431
mv_f0_n411,4972.897956,5426.510925
mv_f0_n412,885.876891,2492.194372
mv_f0_n413,7828.994159,4977.158607
mv_f0_n414,3489.425107,3441.56013
mv_f0_n415,4554.234528,6340.868083
mv_f0_n416,5239.03324,5115.11136
mv_f0_n417,4991.379273,5472.946511
mv_f0_n418,3247.044512,3620.004329
mv_f0_n419,2733.601938,1854.888023
mv_f0_n420,4167.381409,4694.209556
mv_f0_n421,8589.114504,4248.087496
mv_f0_n422,8583.509585,4179.297668
mv_f0_n423,5001.28353,5497.830976
mv_f0_n424,5718.935754,5840.567117
mv_f0_n425,6954.579298,5375.802248
mv_f0_n426,5096.240572,5542.263757
mv_f0_n427,1320.65473,2464.647437
mv_f0_n428,8557.581703,4252.837904
mv_f0_n429,7571.821521,4841.590432
mv_f0_n430,6151.383435,2150.34543
mv_f0_n431,5205.983026,4928.395987
mv_f0_n432,3101.948603,1504.831482
mv_f0_n433,5154.628463,4937.690486
mv_f0_n434,8488.336208,4185.236553
mv_f0_n435,132.692731,2536.816329
mv_f0_n436,7830.8723,4572.822849
mv_f0_n437,7570.878253,4236.943656
mv_f0_n438,5521.561777,5103.286138
mv_f0_n439,4697.93271,6331.5906
mv_f0_n440,5136.210111,5352.611605
mv_f0_n441,4693.652826,6331.869984
mv_f0_n442,6061.765541,1914.736654
mv_f0_n443,5952.51474,6524.343566
mv_f0_n444,6061.765541,1914.753517
mv_f0_n445,5138.04095,5351.713022
mv_f0_n446,6523.997042,5009.755478
mv_f0_n447,5094.906791,5544.111986
mv_f0_n448,5203.966293,4928.097335
mv_f0_n449,8392.393596,4017.769142
mv_f0_n450,2731.094532,3374.814011
mv_f0_n451,7749.219717,4704.163427
mv_f0_n452,3338.94421,5237.680464
mv_f0_n453,2618.607331,1076.206764
mv_f0_n454,3398.168472,3022.081344
mv_f0_n455,3771.869595,1918.432869
mv_f0_n456,1931.443623,475.623676
mv_f0_n457,4064.635015,4619.26802
mv_f0_n458,5154.628463,4937.673622
mv_f0_n459,6060.432207,1914.736654
mv_f0_n460,3696.353422,1912.29605
mv_f0_n461,7013.95296,5390.177837
mv_f0_n462,7531.970218,4146.573804
mv_f0_n463,7891.443717,4226.71504
mv_f0_n464,3140.878534,1806.526784
mv_f0_n465,7210.620109,5437.811535
mv_f0_n466,8129.44633,4210.375879
mv_f0_n467,3117.546682,1808.086606
mv_f0_n468,7095.58418,5409.950183
mv_f0_n469,6228.270036,6546.094633
mv_f0_n470,4471.172358,5170.387399
mv_f0_n471,7571.821521,4843.455525
mv_f0_n472,7833.421029,4930.198409
mv_f0_n473,3113.545639,1820.135161
mv_f0_n474,5607.328056,2062.824596
mv_f0_n475,6717.285676,5338.377898
mv_f0_n476,3132.911033,1845.289376
mv_f0_n477,5145.898212,5858.331452
mv_f0_n478,6321.485042,5312.306708
mv_f0_n479,3996.459743,4516.311249
mv_f0_n480,3453.612675,1928.533616
mv_f0_n481,5636.100548,2187.051613
mv_f0_n482,6615.366078,5331.844336
mv_f0_n483,3159.072363,1880.409463
mv_f0_n484,3626.805309,3547.921705
mv_f0_n485,2938.552175,2637.053086
mv_f0_n486,6537.895857,5326.595591
mv_f0_n487,3333.443046,1936.575328
mv_f0_n488,3959.114514,4411.269783
mv_f0_n489,7830.8723,4570.957757
mv_f0_n490,4409.776307,4497.046614
mv_f0_n491,5446.877803,6179.194821
mv_f0_n492,7189.978063,4840.355148
mv_f0_n493,3171.609397,1670.120716
mv_f0_n494,6364.912894,6692.357972
mv_f0_n495,3193.983679,1927.273322
mv_f0_n496,5061.696901,5590.136374
mv_f0_n497,3242.17128,2593.482981
mv_f0_n498,5632.622601,5781.825487
mv_f0_n499,2524.158076,843.835277
mv_f0_n500,5719.774439,5839.082614
mv_f0_n501,4034.403724,4610.865733
mv_f0_n502,5155.961796,4937.340401
mv_f0_n503,4775.893605,6524.667001
mv_f0_n504,3245.136937,1942.481808
mv_f0_n505,5316.43213,6066.482988
mv_f0_n506,4167.381409,4696.074649
mv_f0_n507,3368.356523,2899.37456
mv_f0_n508,5614.224959,1983.285222
mv_f0_n509,4739.056342,6430.451455
mv_f0_n510,3291.48073,2708.524475
mv_f0_n511,2482.417067,686.153321
mv_f0_n512,8588.381736,4249.006223
mv_f0_n513,6043.143191,5081.629221
mv_f0_n514,8343.168167,4189.904634
mv_f0_n515,5681.549456,2144.569445
mv_f0_n516,8197.775324,4050.009329
mv_f0_n517,4130.269628,4790.034895
mv_f0_n518,5614.224959,1985.150314
mv_f0_n519,5660.928197,2118.359
mv_f0_n520,5335.940187,6768.565057
mv_f0_n521,6061.098874,1914.403433
mv_f0_n522,5771.588507,5944.08616
mv_f0_n523,5977.438579,5293.488997
mv_f0_n524,8257.678568,4044.17379
mv_f0_n525,2898.743023,1746.144757
mv_f0_n526,6456.225729,6693.227654
mv_f0_n527,8294.148366,4079.212426
mv_f0_n528,5381.170778,6146.589192
mv_f0_n529,4557.144813,4859.477204
mv_f0_n530,7658.464311,4964.055802
mv_f0_n531,5373.112945,6274.985259
